subj_id,response_ix,response_id
A115A6OQBJFVVS,0,208
A115A6OQBJFVVS,1,209
A115A6OQBJFVVS,2,210
A115A6OQBJFVVS,3,211
A115A6OQBJFVVS,4,212
A115A6OQBJFVVS,5,213
A115A6OQBJFVVS,6,214
A115A6OQBJFVVS,7,215
A115A6OQBJFVVS,8,216
A115A6OQBJFVVS,9,217
A11G1TGXX3YS24,0,736
A11G1TGXX3YS24,1,737
A11G1TGXX3YS24,2,738
A11G1TGXX3YS24,3,739
A11G1TGXX3YS24,4,740
A11G1TGXX3YS24,5,741
A11G1TGXX3YS24,6,742
A11G1TGXX3YS24,7,743
A11G1TGXX3YS24,8,744
A11G1TGXX3YS24,9,745
A11SMS4CF6W26Y,0,281
A11SMS4CF6W26Y,1,282
A11SMS4CF6W26Y,2,283
A11SMS4CF6W26Y,3,284
A11SMS4CF6W26Y,4,285
A11SMS4CF6W26Y,5,286
A11SMS4CF6W26Y,6,287
A11SMS4CF6W26Y,7,288
A11SMS4CF6W26Y,8,289
A11SMS4CF6W26Y,9,290
A161AJDHLJVCLZ,0,198
A161AJDHLJVCLZ,1,199
A161AJDHLJVCLZ,2,200
A161AJDHLJVCLZ,3,201
A161AJDHLJVCLZ,4,202
A161AJDHLJVCLZ,5,203
A161AJDHLJVCLZ,6,204
A161AJDHLJVCLZ,7,205
A161AJDHLJVCLZ,8,206
A161AJDHLJVCLZ,9,207
A1A67ONSHK22L3,0,844
A1A67ONSHK22L3,0,863
A1A67ONSHK22L3,1,846
A1A67ONSHK22L3,1,864
A1A67ONSHK22L3,2,848
A1A67ONSHK22L3,2,865
A1A67ONSHK22L3,3,849
A1A67ONSHK22L3,3,866
A1A67ONSHK22L3,4,851
A1A67ONSHK22L3,4,867
A1A67ONSHK22L3,5,852
A1A67ONSHK22L3,5,868
A1A67ONSHK22L3,6,854
A1A67ONSHK22L3,6,869
A1A67ONSHK22L3,7,855
A1A67ONSHK22L3,7,870
A1A67ONSHK22L3,8,856
A1A67ONSHK22L3,8,871
A1A67ONSHK22L3,9,858
A1A67ONSHK22L3,9,872
A1B79AW7Z2QNHI,0,81
A1B79AW7Z2QNHI,1,82
A1B79AW7Z2QNHI,2,83
A1B79AW7Z2QNHI,3,84
A1B79AW7Z2QNHI,4,85
A1B79AW7Z2QNHI,5,86
A1B79AW7Z2QNHI,6,87
A1B79AW7Z2QNHI,7,88
A1B79AW7Z2QNHI,8,89
A1B79AW7Z2QNHI,9,90
A1CHHJ7D40O0IW,0,693
A1CHHJ7D40O0IW,1,694
A1CHHJ7D40O0IW,2,873
A1CHHJ7D40O0IW,3,874
A1CHHJ7D40O0IW,4,875
A1CHHJ7D40O0IW,5,876
A1CHHJ7D40O0IW,6,877
A1CHHJ7D40O0IW,7,878
A1CHHJ7D40O0IW,8,879
A1CHHJ7D40O0IW,9,880
A1E2E3ENW1FVFE,0,695
A1E2E3ENW1FVFE,1,696
A1E2E3ENW1FVFE,2,697
A1E2E3ENW1FVFE,3,698
A1E2E3ENW1FVFE,4,699
A1E2E3ENW1FVFE,5,700
A1E2E3ENW1FVFE,6,701
A1E2E3ENW1FVFE,7,702
A1E2E3ENW1FVFE,8,703
A1E2E3ENW1FVFE,9,704
A1ECUDAJQXQUNB,0,348
A1ECUDAJQXQUNB,1,349
A1ECUDAJQXQUNB,2,350
A1ECUDAJQXQUNB,3,351
A1ECUDAJQXQUNB,4,352
A1ECUDAJQXQUNB,5,353
A1ECUDAJQXQUNB,6,354
A1ECUDAJQXQUNB,7,355
A1ECUDAJQXQUNB,8,356
A1ECUDAJQXQUNB,9,357
A1LP4LE8JTSRW6,0,178
A1LP4LE8JTSRW6,1,179
A1LP4LE8JTSRW6,2,180
A1LP4LE8JTSRW6,3,181
A1LP4LE8JTSRW6,4,182
A1LP4LE8JTSRW6,5,183
