"chain_name","seed_id","message_id","text","n","is_english","generation","order"
"zipper",47,113,"zoop",12,0,1,1
"glass",34,159,"dingdingding",8,0,1,1
"glass",34,101,"tingtingting",5,0,1,1
"glass",34,116,"dicdicdic",3,0,1,1
"glass",37,63,"moonk",3,0,1,1
"tear",41,114,"psht",3,0,1,1
"water",45,95,"glong",3,0,1,2
"glass",34,116,"tititic",2,0,1,2
"glass",34,136,"taateh",2,0,1,1
"glass",34,136,"titituh",2,0,1,2
"glass",34,159,"dingdingling",2,0,1,2
"glass",35,87,"erf",2,0,1,1
"glass",35,172,"erer",2,0,1,1
"glass",35,172,"errerr",2,0,1,2
"glass",37,63,"boonk",2,0,1,2
"glass",37,63,"munk",2,0,1,3
"glass",37,63,"noonk",2,0,1,4
"tear",41,59,"shuwuhuhshw",2,0,1,2
"tear",41,114,"pshhht",2,0,1,2
"water",43,50,"psh psh psh",2,0,1,1
"water",44,153,"goodvuh",2,0,1,1
"water",45,52,"aiwatchedoo",2,0,1,1
"water",45,95,"glonglon",2,0,1,4
"zipper",47,53,"zoop",2,0,1,1
"zipper",48,103,"fffft",2,0,1,1
"zipper",48,103,"ssst",2,0,1,2
"zipper",49,94,"bizzurp",2,0,1,1
"zipper",49,94,"bzzzzup",2,0,1,2
"zipper",49,94,"zerp",2,0,1,3
"glass",34,101,"tendingping",1,0,1,2
"glass",34,101,"tingtangtang",1,0,1,3
"glass",34,101,"tingtangting",1,0,1,4
"glass",34,116,"adiktiktik",1,0,1,3
"glass",34,116,"d-d-d",1,0,1,4
"glass",34,136,"chirpaloon",1,0,1,3
"glass",34,136,"tah tah teh",1,0,1,4
"glass",34,159,"binbindlin",1,0,1,3
"glass",34,159,"dengdinning",1,0,1,4
"glass",35,56,"bahdumdum",1,0,1,1
"glass",35,56,"berruthump",1,0,1,2
"glass",35,56,"blirrta",1,0,1,3
"glass",35,56,"bridum",1,0,1,4
"glass",35,87,"arf",1,0,1,2
"glass",35,87,"arn",1,0,1,3
"glass",35,87,"earp",1,0,1,4
"glass",35,143,"bupcuititit",1,0,1,1
"glass",35,143,"chirck",1,0,1,2
"glass",35,143,"chkackk",1,0,1,3
"glass",35,143,"choouk",1,0,1,4
"glass",35,172,"ehrehr",1,0,1,3
"glass",35,172,"ehrrert",1,0,1,4
"glass",36,72,"booeep",1,0,1,1
"glass",36,72,"boooe",1,0,1,2
"glass",36,72,"ciiia",1,0,1,3
"glass",36,72,"dirrng",1,0,1,4
"tear",38,62,"phfffft",1,0,1,1
"tear",38,62,"pseup",1,0,1,2
"tear",38,62,"scheeept",1,0,1,3
"tear",38,62,"scheilpt",1,0,1,4
"tear",39,86,"peeeew",1,0,1,1
"tear",39,86,"pewfle",1,0,1,2
"tear",39,86,"pewuufth",1,0,1,3
"tear",39,86,"pewww",1,0,1,4
"tear",39,135,"ashey",1,0,1,1
"tear",39,135,"feeshefee",1,0,1,2
"tear",39,135,"fffffuh",1,0,1,3
"tear",39,135,"kiiychh",1,0,1,4
"tear",39,138,"cogsvsh",1,0,1,1
"tear",39,138,"criui",1,0,1,2
"tear",39,138,"cui-shi-shhht",1,0,1,3
"tear",39,138,"goysoochee",1,0,1,4
"tear",40,145,"eeekh",1,0,1,1
"tear",40,145,"hhhweerrr",1,0,1,2
"tear",40,145,"kwoooooop",1,0,1,3
"tear",40,145,"kwou",1,0,1,4
"tear",40,204,"choo",1,0,1,1
"tear",40,204,"chshew",1,0,1,2
"tear",40,204,"hshiew",1,0,1,3
"tear",40,204,"kkchuuu",1,0,1,4
"tear",41,59,"fffhhhhhttt",1,0,1,3
"tear",41,59,"heshroo",1,0,1,4
"tear",41,91,"ferhhhh",1,0,1,1
"tear",41,91,"fmmb",1,0,1,2
"tear",41,91,"frhdh",1,0,1,3
"tear",41,91,"fueuh",1,0,1,4
"tear",41,100,"cavemanning",1,0,1,1
"tear",41,100,"ccccchhhhyeaahh",1,0,1,2
"tear",41,100,"chaaaaa",1,0,1,3
"tear",41,100,"chea",1,0,1,4
"tear",41,114,"beeepks",1,0,1,3
"tear",41,114,"pcht",1,0,1,4
"water",42,58,"bhacsshhcawit",1,0,1,1
"water",42,58,"bhhchchtchwweet",1,0,1,2
"water",42,58,"boococucuwich",1,0,1,3
"water",42,58,"buh ruh ka taruh",1,0,1,4
"water",42,112,"bbrrrrlipp",1,0,1,1
"water",42,112,"bloot",1,0,1,2
"water",42,112,"brdrd",1,0,1,3
"water",42,112,"brilup",1,0,1,4
"water",42,137,"chojoeese",1,0,1,1
"water",42,137,"chuzushth",1,0,1,2
"water",42,137,"dojewisss",1,0,1,3
"water",42,137,"foreignsneeze",1,0,1,4
