"transcription_survey_name","chain_name","seed_id","message_id","text","n","order"
"remaining-proximal-and-distal-1","glass",34,533,"dundunda",3,1
"remaining-proximal-and-distal-1","glass",34,544,"blahblahblah",2,1
"remaining-proximal-and-distal-1","glass",34,524,"damnanin",1,1
"remaining-proximal-and-distal-1","glass",34,524,"danamaynaynay",1,2
"remaining-proximal-and-distal-1","glass",34,524,"danamememe",1,3
"remaining-proximal-and-distal-1","glass",34,524,"dananamimi",1,4
"remaining-proximal-and-distal-1","glass",34,533,"da da da",1,2
"remaining-proximal-and-distal-1","glass",34,533,"dadada",1,3
"remaining-proximal-and-distal-1","glass",34,533,"dadadaaa",1,4
"remaining-proximal-and-distal-1","glass",34,538,"da-ti-ti-tic",1,1
"remaining-proximal-and-distal-1","glass",34,538,"daatt tiitititititi",1,2
"remaining-proximal-and-distal-1","glass",34,538,"datadta",1,3
"remaining-proximal-and-distal-1","glass",34,538,"deetdedededeet",1,4
"remaining-proximal-and-distal-1","glass",34,544,"ablablablablah",1,2
"remaining-proximal-and-distal-1","glass",34,544,"blablabla",1,3
"remaining-proximal-and-distal-1","glass",34,544,"blablablablabla",1,4
"remaining-proximal-and-distal-1","glass",35,520,"mmmmmmmm",2,1
"remaining-proximal-and-distal-1","glass",35,554,"rantant",2,1
"remaining-proximal-and-distal-1","glass",35,554,"reh-eh",2,2
"remaining-proximal-and-distal-1","glass",35,554,"reheh",2,3
"remaining-proximal-and-distal-1","glass",35,516,"chrech droawl",1,1
"remaining-proximal-and-distal-1","glass",35,516,"ckriii- kkkraaa",1,2
"remaining-proximal-and-distal-1","glass",35,516,"creacrooww",1,3
"remaining-proximal-and-distal-1","glass",35,516,"creekahh",1,4
"remaining-proximal-and-distal-1","glass",35,520,"ehn",1,2
"remaining-proximal-and-distal-1","glass",35,520,"emmmmmm",1,3
"remaining-proximal-and-distal-1","glass",35,520,"mhmm",1,4
"remaining-proximal-and-distal-1","glass",35,554,"brah-ant",1,4
"remaining-proximal-and-distal-1","glass",36,36,"tink",2,1
"remaining-proximal-and-distal-1","glass",36,556,"weeoo",2,1
"remaining-proximal-and-distal-1","glass",36,556,"weeooh",2,2
"remaining-proximal-and-distal-1","glass",36,556,"weyou",2,3
"remaining-proximal-and-distal-1","glass",36,36,"chank",1,2
"remaining-proximal-and-distal-1","glass",36,36,"cleek",1,3
"remaining-proximal-and-distal-1","glass",36,36,"cliq",1,4
"remaining-proximal-and-distal-1","glass",36,556,"wayew",1,4
"remaining-proximal-and-distal-1","glass",37,37,"dink",2,1
"remaining-proximal-and-distal-1","glass",37,37,"tink",2,2
"remaining-proximal-and-distal-1","glass",37,562,"guroak",2,1
"remaining-proximal-and-distal-1","glass",37,37,"buink",1,3
"remaining-proximal-and-distal-1","glass",37,37,"claink",1,4
"remaining-proximal-and-distal-1","glass",37,562,"baroke",1,2
"remaining-proximal-and-distal-1","glass",37,562,"bbbrrrroookkkee",1,3
"remaining-proximal-and-distal-1","glass",37,562,"betwoolrullelk",1,4
"remaining-proximal-and-distal-1","tear",38,552,"chh chh",2,1
"remaining-proximal-and-distal-1","tear",38,38,"bishuw",1,1
