row,chain_name,text,choice_1,choice_2,choice_3,choice_4,filename
1,glass,dundunda,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-34
2,glass,dundundah,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-34
3,glass,dundunduh,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-34
4,glass,dahduhda,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-34
1,glass,goracto,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-35
2,glass,gorecto,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-35
3,glass,Goracto,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,glass-35
1,tear,a chechyu,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-39
2,tear,a-chitch-shu,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-39
1,tear,sheah,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-41
2,tear,sheyah,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-41
3,tear,shiyah,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-41
4,tear,cheea,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,tear-41
1,water,chewchewshewa,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,water-42
2,water,chewscutcutsew,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,water-42
3,water,Chicochicochicochico,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,water-42
1,water,glongglong,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/glass-34.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/tear-39.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/water-42.mp3,http://sapir.psych.wisc.edu/stimuli/words-in-transition/transcription-sources/zipper-47.mp3,water-45
