V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,Unnamed: 39
ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,workerId,survey,assignmentId,instructions,glass-34 (1),glass-34 (2),glass-34 (3),glass-34 (4),glass-35 (1),glass-35 (2),glass-35 (3),tear-39 (1),tear-39 (2),tear-41 (1),tear-41 (2),tear-41 (3),tear-41 (4),water-42 (1),water-42 (2),water-42 (3),water-45 (1),water-45 (2),water-45 (3),zipper-47 (1),zipper-47 (2),zipper-49 (1),zipper-49 (2),zipper-49 (3),zipper-49 (4),
Default Response Set,Anonymous,,,97.90.220.160,0,2016-03-20 16:24:54,2016-03-20 16:26:53,1,AYCHPTQRYDT7G,,,1,,,,3,,4,,4,,,,3,,,,1,,,4,2,,,,1,,
Default Response Set,Anonymous,,,50.105.144.70,0,2016-03-20 19:24:00,2016-03-20 19:26:42,1,A1GF29TP5AVQ49,,,1,,,,1,3,,,,4,,,,2,,,1,2,,,4,,,,,2,
Default Response Set,Anonymous,,,65.188.63.174,0,2016-03-21 06:27:17,2016-03-21 06:33:55,1,AOVB3KCIIJLRJ,,,1,,,1,,,2,,4,,,4,,,,2,,,1,,1,,,,2,,
Default Response Set,Anonymous,,,173.17.79.26,0,2016-03-21 15:54:40,2016-03-21 15:55:19,1,A3QW4L1GMGZVQ0,,,1,,,2,,,3,,1,,,,2,,,,3,,1,,,2,4,,,,
Default Response Set,Anonymous,,,64.237.52.137,0,2016-03-21 15:54:35,2016-03-21 15:56:09,1,A1HH2KZIFLXRJL,,,1,,,,1,,2,,,2,2,,,,,2,,,1,,,4,,2,,,
Default Response Set,Anonymous,,,108.19.146.96,0,2016-03-21 15:54:31,2016-03-21 15:56:52,1,A11FBJMD5UHH39,,,1,,1,,,1,,,,1,,4,,,,,1,3,,,,4,,,,4,
Default Response Set,Anonymous,,,209.236.93.225,0,2016-03-21 15:54:50,2016-03-21 15:57:55,1,A1HKYY6XI2OHO1,,,1,,,1,,,,1,1,,,,,2,,,1,,,3,,2,,4,,,
Default Response Set,Anonymous,,,71.61.182.132,0,2016-03-21 15:56:41,2016-03-21 15:58:03,1,A29C62CNQKDT34,,,1,,,1,,,4,,1,,4,,,,2,,,,,3,4,,,4,,,
Default Response Set,Anonymous,,,75.110.222.50,0,2016-03-21 15:55:15,2016-03-21 15:58:08,1,A23B9UVYZ52CL0,,,1,,,3,,2,,,2,,,,2,,3,,,,,2,,1,,,,4,
Default Response Set,Anonymous,,,50.204.167.20,0,2016-03-21 15:58:39,2016-03-21 15:59:44,1,A002160837SWJFPIAI7L7,,,1,,,,1,,4,,2,,1,,,,,2,,3,,,4,,,,2,,
Default Response Set,Anonymous,,,104.174.223.0,0,2016-03-21 16:04:30,2016-03-21 16:05:56,1,A1A3TGZ7DKJWRW,,,1,,,,1,,3,,,2,,,,2,3,,,,1,,,4,,,2,,
Default Response Set,Anonymous,,,192.180.55.39,0,2016-03-21 15:54:31,2016-03-21 16:12:32,1,A3U0A3LP7Q38JC,,,1,,,1,,,,4,,1,2,,,,,3,,,,1,,2,,,4,,
