,chain_name,seed_id,message_id,text,n,order,rejected
0,glass,34,566,dundunda,8,1,
1,glass,34,566,dundundah,2,2,
2,glass,34,566,dundunduh,2,3,
3,glass,34,566,dahduhda,1,4,
4,glass,35,502,goracto,3,1,
5,glass,35,502,gorecto,3,2,
6,glass,35,502,Goracto,2,3,
8,tear,39,560,a chechyu,1,1,
11,tear,39,560,a-chitch-shu,1,4,
12,tear,41,522,sheah,3,1,
13,tear,41,522,sheyah,2,2,
14,tear,41,522,shiyah,2,3,
15,tear,41,522,cheea,1,4,
17,water,42,563,chewchewshewa,1,2,
18,water,42,563,chewscutcutsew,1,3,
19,water,42,563,Chicochicochicochico,1,4,
20,water,45,466,glongglong,7,1,
21,water,45,466,glonglong,6,2,
23,water,45,466,galonggalong,1,4,
24,zipper,47,377,veep,5,1,
25,zipper,47,377,veeb,2,2,
28,zipper,49,505,izit,5,1,
29,zipper,49,505,izzit,4,2,
30,zipper,49,505,iszit,2,3,
31,zipper,49,505,Izzzit,2,4,
