transcription_survey_name,chain_name,seed_id,message_id,text,n,order,is_english
hand picked 1,glass,34,566,dundunda,8,1,False
hand picked 1,glass,34,566,dundundah,2,2,False
hand picked 1,glass,34,566,dundunduh,2,3,False
hand picked 1,glass,34,566,DUNDUNTA,1,4,False
hand picked 1,glass,34,566,Dundunda,1,5,False
hand picked 1,glass,34,566,Tantata,1,6,False
hand picked 1,glass,34,566,dahduhda,1,7,False
hand picked 1,glass,34,566,duh duh dah,1,8,False
hand picked 1,glass,34,566,dun dun dah,1,9,False
hand picked 1,glass,34,566,dun-du-dah,1,10,False
hand picked 1,glass,34,566,dunduhduh,1,11,False
hand picked 1,glass,34,566,temthemda,1,12,False
hand picked 1,glass,34,566,tunduntah,1,13,False
hand picked 1,glass,35,502,goracto,3,1,False
hand picked 1,glass,35,502,gorecto,3,2,False
hand picked 1,glass,35,502,Goracto,2,3,False
hand picked 1,glass,35,502,CORRECTO,1,4,False
hand picked 1,glass,35,502,DIRECTO,1,5,False
hand picked 1,glass,35,502,Garage door,1,6,True
hand picked 1,glass,35,502,Gorracto,1,7,False
hand picked 1,glass,35,502,Ygoradtdo,1,8,False
hand picked 1,glass,35,502,correcto,1,9,False
hand picked 1,glass,35,502,directo,1,10,False
hand picked 1,glass,35,502,dorakdo,1,11,False
hand picked 1,glass,35,502,garecto,1,12,False
hand picked 1,glass,35,502,garratto,1,13,False
hand picked 1,glass,35,502,garrotto,1,14,False
hand picked 1,glass,35,502,gorakdoh,1,15,False
hand picked 1,glass,35,502,gorato,1,16,False
hand picked 1,glass,35,502,gorcto,1,17,False
hand picked 1,glass,35,502,gordato,1,18,False
hand picked 1,glass,35,502,roracto,1,19,False
hand picked 1,tear,39,560,A SHOE,1,1,True
hand picked 1,tear,39,560,A church shoe,1,2,True
hand picked 1,tear,39,560,ATTETCHUW,1,3,False
hand picked 1,tear,39,560,Achechew,1,4,False
hand picked 1,tear,39,560,Achedtshhhooo,1,5,False
hand picked 1,tear,39,560,Achetshooo,1,6,False
hand picked 1,tear,39,560,Achetssue,1,7,False
hand picked 1,tear,39,560,Atitchoo,1,8,False
hand picked 1,tear,39,560,a chechyu,1,9,False
hand picked 1,tear,39,560,a-chitch-shu,1,10,False
hand picked 1,tear,39,560,achechchu,1,11,False
hand picked 1,tear,39,560,achechhh-shu,1,12,False
hand picked 1,tear,39,560,achechsshshshshoooo,1,13,False
