"transcription_survey_name","chain_name","seed_id","message_id","text","n","order"
"hand picked 1","glass",34,566,"dundunda",8,1
"hand picked 1","glass",34,566,"dundundah",2,2
"hand picked 1","glass",34,566,"dundunduh",2,3
"hand picked 1","glass",34,566,"DUNDUNTA",1,4
"hand picked 1","glass",35,502,"goracto",3,1
"hand picked 1","glass",35,502,"gorecto",3,2
"hand picked 1","glass",35,502,"Goracto",2,3
"hand picked 1","glass",35,502,"CORRECTO",1,4
"hand picked 1","tear",39,560,"A SHOE",1,1
"hand picked 1","tear",39,560,"A church shoe",1,2
"hand picked 1","tear",39,560,"ATTETCHUW",1,3
"hand picked 1","tear",39,560,"Achechew",1,4
"hand picked 1","tear",41,522,"sheah",3,1
"hand picked 1","tear",41,522,"sheyah",2,2
"hand picked 1","tear",41,522,"shiyah",2,3
"hand picked 1","tear",41,522,"Chia",1,4
"hand picked 1","water",42,563,"CHEW",1,1
"hand picked 1","water",42,563,"CHOCHOCCHOOCHO",1,2
"hand picked 1","water",42,563,"Chicochicochicochico",1,3
"hand picked 1","water",42,563,"Chockakaka",1,4
"hand picked 1","water",45,466,"glongglong",7,1
"hand picked 1","water",45,466,"glonglong",6,2
"hand picked 1","water",45,466,"glong-glong",2,3
"hand picked 1","water",45,466,"GLONG GLONG",1,4
"hand picked 1","zipper",47,377,"veep",5,1
"hand picked 1","zipper",47,377,"veeb",2,2
"hand picked 1","zipper",47,377,"BEEP",1,3
"hand picked 1","zipper",47,377,"Bveeeeeep",1,4
"hand picked 1","zipper",49,505,"izit",5,1
"hand picked 1","zipper",49,505,"izzit",4,2
"hand picked 1","zipper",49,505,"Izzzit",2,3
"hand picked 1","zipper",49,505,"iszit",2,4
"hand picked 1 seeds","glass",34,34,"clank",2,1
"hand picked 1 seeds","glass",34,34,"Bubtedew",1,2
"hand picked 1 seeds","glass",34,34,"Clanking",1,3
"hand picked 1 seeds","glass",34,34,"a piece of metal being dropped",1,4
"hand picked 1 seeds","glass",35,35,"clink",3,1
"hand picked 1 seeds","glass",35,35,"Clinket",1,2
"hand picked 1 seeds","glass",35,35,"Cranking",1,3
"hand picked 1 seeds","glass",35,35,"breetu",1,4
"hand picked 1 seeds","tear",39,39,"Kuhssssssuit",1,1
"hand picked 1 seeds","tear",39,39,"Tarip",1,2
"hand picked 1 seeds","tear",39,39,"Tearing",1,3
"hand picked 1 seeds","tear",39,39,"clickadrag",1,4
"hand picked 1 seeds","tear",41,41,"Chrrrrup",1,1
"hand picked 1 seeds","tear",41,41,"Crunch",1,2
"hand picked 1 seeds","tear",41,41,"Rip",1,3
"hand picked 1 seeds","tear",41,41,"Tearing",1,4
"hand picked 1 seeds","water",42,42,"splash",2,1
"hand picked 1 seeds","water",42,42,"whoosh",2,2
"hand picked 1 seeds","water",42,42,"Splash",1,3
"hand picked 1 seeds","water",42,42,"Swished",1,4
"hand picked 1 seeds","water",45,45,"splash",2,1
"hand picked 1 seeds","water",45,45,"Buhlorghorgh",1,2
"hand picked 1 seeds","water",45,45,"Splash",1,3
"hand picked 1 seeds","water",45,45,"Wooshed",1,4
"hand picked 1 seeds","zipper",47,47,"zip",3,1
"hand picked 1 seeds","zipper",47,47,"Zip",1,2
"hand picked 1 seeds","zipper",47,47,"Zipping",1,3
"hand picked 1 seeds","zipper",47,47,"breep",1,4
"hand picked 1 seeds","zipper",49,49,"zip",2,1
"hand picked 1 seeds","zipper",49,49,"Burp",1,2
"hand picked 1 seeds","zipper",49,49,"Zip",1,3
"hand picked 1 seeds","zipper",49,49,"Zipper",1,4
