"transcription_survey_name","chain_name","seed_id","message_id","text","n","order"
"hand picked 1","glass",34,566,"dundunda",8,1
"hand picked 1","glass",34,566,"dundundah",2,2
"hand picked 1","glass",34,566,"dundunduh",2,3
"hand picked 1","glass",34,566,"dahduhda",1,4
"hand picked 1","glass",35,502,"goracto",3,1
"hand picked 1","glass",35,502,"gorecto",3,2
"hand picked 1","glass",35,502,"Goracto",2,3
"hand picked 1","glass",35,502,"correcto",1,4
"hand picked 1","tear",39,560,"a chechyu",1,1
"hand picked 1","tear",39,560,"A church shoe",1,2
"hand picked 1","tear",39,560,"A SHOE",1,3
"hand picked 1","tear",39,560,"a-chitch-shu",1,4
"hand picked 1","tear",41,522,"sheah",3,1
"hand picked 1","tear",41,522,"sheyah",2,2
"hand picked 1","tear",41,522,"shiyah",2,3
"hand picked 1","tear",41,522,"cheea",1,4
"hand picked 1","water",42,563,"CHEW",1,1
"hand picked 1","water",42,563,"chewchewshewa",1,2
"hand picked 1","water",42,563,"chewscutcutsew",1,3
"hand picked 1","water",42,563,"Chicochicochicochico",1,4
"hand picked 1","water",45,466,"glongglong",7,1
"hand picked 1","water",45,466,"glonglong",6,2
"hand picked 1","water",45,466,"glong-glong",2,3
"hand picked 1","water",45,466,"galonggalong",1,4
"hand picked 1","zipper",47,377,"veep",5,1
"hand picked 1","zipper",47,377,"veeb",2,2
"hand picked 1","zipper",47,377,"beep",1,3
"hand picked 1","zipper",47,377,"BEEP",1,4
"hand picked 1","zipper",49,505,"izit",5,1
"hand picked 1","zipper",49,505,"izzit",4,2
"hand picked 1","zipper",49,505,"iszit",2,3
"hand picked 1","zipper",49,505,"Izzzit",2,4
