x,y,edge_type
root,glass,vis
root,tear,vis
root,water,vis
root,zipper,vis
glass,34,vis
glass,35,vis
glass,36,vis
glass,37,vis
tear,38,vis
tear,39,vis
tear,40,vis
tear,41,vis
water,42,vis
water,43,vis
water,44,vis
water,45,vis
zipper,46,vis
zipper,47,vis
zipper,48,vis
zipper,49,vis
43,50,vis
38,51,vis
45,52,vis
47,53,vis
38,54,vis
46,55,vis
35,56,vis
42,58,vis
41,59,vis
46,60,vis
35,61,vis
38,62,vis
37,63,vis
45,64,vis
49,65,vis
48,70,vis
38,71,vis
36,72,vis
42,73,vis
39,86,vis
35,87,vis
43,88,vis
46,89,vis
46,90,vis
41,91,vis
44,92,vis
49,94,vis
45,95,vis
49,97,vis
39,98,vis
41,100,vis
34,101,vis
48,103,vis
48,105,vis
40,110,vis
36,111,vis
42,112,vis
47,113,vis
41,114,vis
42,115,vis
34,116,vis
47,117,vis
49,118,vis
49,132,vis
39,135,vis
34,136,vis
42,137,vis
39,138,vis
47,139,vis
40,140,vis
48,141,vis
40,145,vis
139,146,vis
105,150,vis
44,153,vis
89,154,vis
100,155,vis
118,158,vis
34,159,vis
153,161,vis
94,162,vis
91,163,vis
50,165,vis
70,166,vis
54,167,vis
35,172,vis
112,173,vis
113,174,vis
59,175,vis
110,176,vis
141,177,vis
159,178,vis
88,179,vis
62,181,vis
103,182,vis
52,183,vis
92,184,vis
86,185,vis
53,187,vis
114,189,vis
60,191,vis
90,193,vis
145,196,vis
71,197,vis
117,198,vis
136,199,vis
58,200,vis
132,202,vis
55,203,vis
40,204,vis
204,206,vis
65,207,vis
43,209,vis
37,210,vis
98,211,vis
202,212,vis
203,213,vis
44,214,vis
37,215,vis
51,216,vis
138,217,vis
146,218,vis
44,220,vis
135,222,vis
198,223,vis
43,224,vis
140,225,vis
215,226,vis
187,227,vis
95,228,vis
175,229,vis
137,231,vis
210,232,vis
211,233,vis
73,234,vis
56,235,vis
177,236,vis
191,237,vis
185,238,vis
45,240,vis
154,241,vis
196,243,vis
158,244,vis
214,246,vis
207,247,vis
216,248,vis
224,249,vis
181,250,vis
63,251,vis
209,253,vis
155,254,vis
162,255,vis
72,256,vis
174,257,vis
64,258,vis
189,260,vis
150,262,vis
61,263,vis
115,264,vis
193,265,vis
