chain_name,seed_id,message_id,text,n,is_english
glass,34,34,clank,2,1
glass,34,34,a piece of metal being dropped,1,1
glass,34,34,atinga,1,0
glass,34,34,bubtedew,1,0
glass,34,34,bugongong,1,0
glass,34,34,clanking,1,1
glass,34,34,clatter,1,1
glass,34,34,cling,1,1
glass,34,34,clipapap,1,0
glass,34,34,cluclaclut,1,0
glass,34,34,clunk,1,1
glass,34,34,didingdink,1,0
glass,34,34,ding,1,1
glass,34,34,oqueo,1,0
glass,34,34,patinka,1,0
glass,34,34,ta-ting-go,1,0
glass,34,34,ting-ding,1,0
glass,34,34,tintanging,1,0
glass,34,566,dundunda,9,0
glass,34,566,dundundah,2,0
glass,34,566,dundunduh,2,0
glass,34,566,dahduhda,1,0
glass,34,566,duh duh dah,1,0
glass,34,566,dun dun dah,1,0
glass,34,566,dun-du-dah,1,0
glass,34,566,dunduhduh,1,0
glass,34,566,dundunta,1,0
glass,34,566,tantata,1,0
glass,34,566,temthemda,1,0
glass,34,566,tunduntah,1,0
glass,35,35,clink,3,1
glass,35,35,breetu,1,0
glass,35,35,clappun,1,0
glass,35,35,click,1,1
glass,35,35,clinket,1,0
glass,35,35,cranking,1,1
glass,35,35,cribbett,1,0
glass,35,35,ding,1,1
glass,35,35,eeka,1,0
glass,35,35,glasses clanking,1,1
glass,35,35,grink,1,0
glass,35,35,ka-tick,1,0
glass,35,35,katink,1,0
glass,35,35,klak,1,0
glass,35,35,klickitt,1,0
glass,35,35,klika,1,0
glass,35,35,kricht,1,0
glass,35,502,goracto,5,0
glass,35,502,gorecto,3,0
glass,35,502,correcto,2,0
glass,35,502,directo,2,0
glass,35,502,dorakdo,1,0
glass,35,502,garage door,1,1
glass,35,502,garecto,1,0
glass,35,502,garratto,1,0
glass,35,502,garrotto,1,0
glass,35,502,gorakdoh,1,0
glass,35,502,gorato,1,0
glass,35,502,gorcto,1,0
glass,35,502,gordato,1,0
glass,35,502,gorracto,1,0
glass,35,502,roracto,1,0
glass,35,502,ygoradtdo,1,0
tear,39,39,clickadrag,1,0
tear,39,39,cliflika,1,0
tear,39,39,crisshhh,1,0
tear,39,39,kitzee,1,0
tear,39,39,kizzle,1,0
tear,39,39,kuhssssssuit,1,0
tear,39,39,kuhzip,1,0
tear,39,39,kureep,1,0
tear,39,39,kushhh,1,0
tear,39,39,paper being torn,1,1
tear,39,39,richipit,1,0
tear,39,39,rip,1,1
tear,39,39,scrape,1,1
tear,39,39,shrish,1,0
tear,39,39,smudge,1,1
tear,39,39,stusstt,1,0
tear,39,39,tarip,1,0
tear,39,39,tashir,1,0
tear,39,39,tearing,1,1
tear,39,560,a chechyu,1,0
tear,39,560,a church shoe,1,1
tear,39,560,a shoe,1,1
tear,39,560,a-chitch-shu,1,0
tear,39,560,achechchu,1,0
tear,39,560,achechew,1,0
tear,39,560,achechhh-shu,1,0
tear,39,560,achechsshshshshoooo,1,0
tear,39,560,achechu,1,0
tear,39,560,achedtshhhooo,1,0
tear,39,560,achetshooo,1,0
tear,39,560,achetshue,1,0
tear,39,560,achetssue,1,0
tear,39,560,achichoo,1,0
tear,39,560,achichuwe,1,0
tear,39,560,achishoe,1,0
tear,39,560,achitchu,1,0
tear,39,560,ahchich-choo,1,0
tear,39,560,ashechechu,1,0
tear,39,560,atitchoo,1,0
tear,39,560,attetchuw,1,0
tear,39,560,ititchum,1,0
tear,39,560,pachechu,1,0
tear,41,41,air,1,1
tear,41,41,chraw,1,0
tear,41,41,chrrrrup,1,0
tear,41,41,crish,1,0
tear,41,41,crunch,1,1
tear,41,41,frarr,1,0
tear,41,41,gweeshhhht,1,0
tear,41,41,huhwish,1,0
tear,41,41,pfff,1,0
tear,41,41,pufft,1,0
tear,41,41,rip,1,1
tear,41,41,rrrrip,1,0
tear,41,41,schwoo,1,0
tear,41,41,scratch,1,1
tear,41,41,sheerk,1,0
tear,41,41,shrash,1,0
tear,41,41,ssscrrriii,1,0
tear,41,41,tear,1,1
tear,41,41,tearing,1,1
tear,41,41,zeeeep,1,0
tear,41,522,sheah,3,0
tear,41,522,sheyah,2,0
tear,41,522,shiyah,2,0
tear,41,522,cheea,1,0
tear,41,522,cheeaa,1,0
tear,41,522,cheeyah,1,0
tear,41,522,chia,1,0
tear,41,522,schiya,1,0
tear,41,522,she,1,1
tear,41,522,shear,1,1
tear,41,522,sheay,1,0
tear,41,522,sheeaa,1,0
tear,41,522,sheeeaaah,1,0
tear,41,522,sheeya,1,0
tear,41,522,sheeyaa,1,0
tear,41,522,sheya,1,0
tear,41,522,shiiaap,1,0
tear,41,522,shiyaab,1,0
tear,41,522,tchiah,1,0
water,42,42,splash,3,1
water,42,42,whoosh,2,1
water,42,42,blorgh,1,0
water,42,42,foovo,1,0
water,42,42,ploosh,1,0
water,42,42,pushawater,1,0
water,42,42,shplush,1,0
water,42,42,splooaoo,1,0
water,42,42,sploonge,1,0
water,42,42,splowsh,1,0
water,42,42,spluush,1,0
water,42,42,swish,1,1
water,42,42,swished,1,1
water,42,42,water,1,1
water,42,42,wellow,1,0
water,42,42,wishaz,1,0
water,42,563,chew,1,1
water,42,563,chewchewshewa,1,0
water,42,563,chewscutcutsew,1,0
water,42,563,chicochicochicochico,1,0
water,42,563,chochocchoocho,1,0
water,42,563,chochochocho,1,0
water,42,563,chockakaka,1,0
water,42,563,chogugoshcheoo,1,0
water,42,563,choochoochoochoo,1,0
water,42,563,choooo chooo chooo choooo,1,0
water,42,563,chooskoochoo,1,0
water,42,563,chu-chu-chu-chu,1,0
water,42,563,chuchuchuchu,1,0
water,42,563,chuckchuckchukchu,1,0
water,42,563,chunshumchunshum,1,0
water,42,563,gshoogshoogshoogshoo,1,0
water,42,563,luck ju ju ju ju luck,1,0
water,42,563,schgoschgoschgoscho,1,0
water,42,563,shoshopchuchu,1,0
water,42,563,shuckchuchuyukchu,1,0
water,42,563,yodumbdumbshoe,1,0
water,42,563,zhoezhoezhoezhoe,1,0
water,45,45,splash,3,1
water,45,45,atrishown,1,0
water,45,45,balooshboosh,1,0
water,45,45,blowosh,1,0
water,45,45,buhlorghorgh,1,0
water,45,45,fljushpah,1,0
water,45,45,pkiluffa,1,0
water,45,45,shirpahuhuh,1,0
water,45,45,sloosh-splash,1,0
water,45,45,sploosh,1,0
water,45,45,splunge-plunge,1,0
water,45,45,splush,1,0
water,45,45,swash,1,1
water,45,45,swoosh,1,1
water,45,45,water,1,1
water,45,45,water lapping on a shore,1,1
water,45,45,wooshed,1,0
water,45,45,wuuwaaa,1,0
water,45,466,glongglong,8,0
water,45,466,glonglong,7,0
water,45,466,glong glong,3,0
water,45,466,glong-glong,2,0
water,45,466,galonggalong,1,0
water,45,466,glon glon,1,0
water,45,466,glong,1,0
water,45,466,glongalon,1,0
zipper,47,47,zip,4,1
zipper,47,47,breep,1,0
zipper,47,47,brrip,1,0
zipper,47,47,fizzim,1,0
zipper,47,47,growwff,1,0
zipper,47,47,grunt,1,1
zipper,47,47,przzzzzt,1,0
zipper,47,47,rip,1,1
zipper,47,47,rrrzip,1,0
zipper,47,47,vritt,1,0
zipper,47,47,vrri,1,0
zipper,47,47,whuup,1,0
zipper,47,47,wreep,1,0
zipper,47,47,zhrip,1,0
zipper,47,47,zipping,1,1
zipper,47,47,zwip,1,0
zipper,47,47,zzzip,1,0
zipper,47,377,veep,6,1
zipper,47,377,beep,2,1
zipper,47,377,veeb,2,0
zipper,47,377,veeeep,2,0
zipper,47,377,bveeeeeep,1,0
zipper,47,377,ceep,1,0
zipper,47,377,eeeep,1,0
zipper,47,377,feep,1,0
zipper,47,377,veeeeee,1,0
zipper,47,377,veeeeeep,1,0
zipper,47,377,veeep,1,0
zipper,47,377,veekup,1,0
zipper,47,377,veyip,1,0
zipper,47,377,zeeee pp,1,0
zipper,47,377,zeep,1,0
zipper,49,49,zip,3,1
zipper,49,49,bahvup,1,0
zipper,49,49,brip,1,0
zipper,49,49,burp,1,1
zipper,49,49,fft,1,0
zipper,49,49,pfiph,1,0
zipper,49,49,pzzzzzuit,1,0
zipper,49,49,vritt,1,0
zipper,49,49,vvvrrip,1,0
zipper,49,49,wreep,1,0
zipper,49,49,zhrup,1,0
zipper,49,49,ziiip,1,0
zipper,49,49,ziip,1,0
zipper,49,49,zimp,1,0
zipper,49,49,zipper,1,1
zipper,49,49,zipping,1,1
zipper,49,49,zuhhip,1,0
zipper,49,49,zup,1,0
zipper,49,49,zzzzip,1,0
zipper,49,505,izit,5,0
zipper,49,505,izzit,4,0
zipper,49,505,iszit,2,0
zipper,49,505,izzip,2,0
zipper,49,505,izzzit,2,0
zipper,49,505,eezzit,1,0
zipper,49,505,iszzzip,1,0
zipper,49,505,izip,1,0
zipper,49,505,izziiiip,1,0
zipper,49,505,izzitt,1,0
zipper,49,505,izzzip,1,0
zipper,49,505,izzzzit,1,0
zipper,49,505,zip,1,1
