AcceptTime,ApprovalTime,Assignment,AssignmentId,AssignmentStatus,AutoApprovalTime,HITId,RejectionTime,SubmitTime,WorkerId,comments,completionCode,hit_title,experiment
2016-02-24T20:28:06Z,2016-02-26T20:35:16Z,,3OLF68YTN92TOZC7X86GT99QHPHFAX,Approved,2016-02-26T20:33:04Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:33:04Z,A2WOZPIFGD3RDK,,w[A2WOZPIFGD3RDK]g[Sound Similarity]s[10903497]r[R_1MXHRMQwm4Cvisp]:da6fbe08385a97e92b22924aa2e4e9c36d39fc2e,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:27:53Z,2016-02-26T20:35:16Z,,37Q970SNZE96YG4T79DMP7Z22L5S15,Approved,2016-02-26T20:33:59Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:33:59Z,A1A3TGZ7DKJWRW,,w[A1A3TGZ7DKJWRW]g[Sound Similarity]s[10903497]r[R_yQEcLPa2CuA3wJ3]:741a35130b1abf2e3be2778106e113a934466a33,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:30:56Z,2016-02-26T20:35:16Z,,3EFE17QCRC6H2RP79YG7HUF9JA1SH4,Approved,2016-02-26T20:35:08Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:35:08Z,AIUKV0KVALMY6,,w[AIUKV0KVALMY6]g[Sound Similarity]s[10903497]r[R_32Kl1Q73hPP7S8L]:233ae91f1ae08606bf07842b0fb40b33176b1deb,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:28:09Z,2016-02-26T20:40:16Z,,34S6N1K2ZVKUYEUHPPJ6581ERGTHLF,Approved,2016-02-26T20:35:16Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:35:16Z,A1A1A9UHNQCI9Y,,w[A1A1A9UHNQCI9Y]g[Sound Similarity]s[10903497]r[R_WpnXrlX8b94Flux]:6b772463217729f676bff739d30df9c173691b64,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:28:21Z,2016-02-26T20:40:16Z,,3U088ZLJVKUZY80KVVJN8RJD36UW0K,Approved,2016-02-26T20:35:20Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:35:20Z,A7KLTVEIASF4J,,w[A7KLTVEIASF4J]g[Sound Similarity]s[10903497]r[R_3rOmO3SvLMS23FV]:e0fe828cb2b5ca9b299e35516d54c62a34299dcf,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:28:07Z,2016-02-26T20:40:16Z,,3S4AW7T80BJ0M26MAIZNBJSAMB74LG,Approved,2016-02-26T20:37:10Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:37:10Z,ANF5ITBKISQPE,Wow that was tough. Sometimes was hard to describe using just one word or two...I used a few more in a few.,w[ANF5ITBKISQPE]g[Sound Similarity]s[10903497]r[R_2Y3A53vIWjK8Qpk]:f680996ddd109904c916b94d9dfa39fabaa21cff,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:28:54Z,2016-02-26T20:40:16Z,,37ZHEEHM6WNGPLYG6ATUI9I3DR673P,Approved,2016-02-26T20:38:45Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:38:45Z,A35CL7JL2TKT3O,,w[A35CL7JL2TKT3O]g[Sound Similarity]s[10903497]r[R_sYiZQP4pOVlV0Vr]:f2de7f13b916992ef965d90c543662e7e9ea4c9e,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:35:03Z,2016-02-26T20:45:16Z,,3I2PTA7R3TVWR1B2NFUZZMG0T3KQKH,Approved,2016-02-26T20:43:53Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T20:43:53Z,A85ATJSDTIARY,,w[A85ATJSDTIARY]g[Sound Similarity]s[10903497]r[R_zZFr8Wy7iBCpaG5]:739f1aad75c1d31da21642d191b2519eaf233021,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T21:02:35Z,2016-02-26T21:10:16Z,,3JZQSN0I3QBUYQPAJ8YQPVKTFKXGFD,Approved,2016-02-26T21:08:53Z,3U18MJKL1UNQIMOSP8GIIPC3RN3NCY,,2016-02-24T21:08:53Z,A381WH9M9O2WQY,I have no comments.,w[A381WH9M9O2WQY]g[Sound Similarity]s[10903497]r[R_3n18q8ByYrrG349]:7a7a44ae0420dc58f55d91e9b29184847dd755e8,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:50:24Z,2016-02-26T21:00:16Z,,3X66WABAJWJZIE9HZDXOOMVWCUR3GQ,Approved,2016-02-26T20:56:11Z,3B9J25CZ25ENYZGXX4X4HJM9EMCSCG,,2016-02-24T20:56:11Z,ALDQRWYZ8KQ9A,,w[ALDQRWYZ8KQ9A]g[Sound Similarity]s[10903497]r[R_2zx9jTaYJV0lMa6]:ce9759af910a6570166ec942c5e7a41fb28d3189,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:51:58Z,2016-02-26T21:00:16Z,,3EF8EXOTT1WDZDL3KF48X68F62U1J0,Approved,2016-02-26T20:58:32Z,3B9J25CZ25ENYZGXX4X4HJM9EMCSCG,,2016-02-24T20:58:32Z,A1FGKIKJYSL1MI,,w[A1FGKIKJYSL1MI]g[Sound Similarity]s[10903497]r[R_3MxHXctzZsXGEFh]:eb854d876145ea631e791a49f951fb96e7369855,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:55:33Z,2016-02-26T21:05:16Z,,3QAVNHZ3EM5FORM3JJ9EOMEAEL4LA9,Approved,2016-02-26T21:00:36Z,3B9J25CZ25ENYZGXX4X4HJM9EMCSCG,,2016-02-24T21:00:36Z,A2M3LVBUZLN8MO,,w[A2M3LVBUZLN8MO]g[Sound Similarity]s[10903497]r[R_1o7u7aiQNz4gHij]:5b933881d9b5bdd28203097e1a2570f9d3b92ed5,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T20:56:22Z,2016-02-26T21:10:16Z,,3QJOXOW4XJS2KML0Z0CFKIJQZ5TME8,Approved,2016-02-26T21:05:50Z,3B9J25CZ25ENYZGXX4X4HJM9EMCSCG,,2016-02-24T21:05:50Z,A2H760ESD9NMOT,"Put a question counter or a timer on the screen, there were times I was frustrated because I didn't know when the study would end.",w[A2H760ESD9NMOT]g[Sound Similarity]s[10903497]r[R_1lmfWVUUHN3xDAH]:06830546eab7e6c757ae32ea1dd6f5190da24618,Listen to sounds and pick the odd one out.,norm_seed
2016-02-24T21:13:27Z,2016-02-26T21:20:16Z,,3QFUFYSY9YGEMAWQO7WPG6NQPFOF4P,Approved,2016-02-26T21:18:26Z,3B9J25CZ25ENYZGXX4X4HJM9EMCSCG,,2016-02-24T21:18:26Z,A3HMBHM8HJLKRD,,w[A3HMBHM8HJLKRD]g[Sound Similarity]s[10903497]r[R_2QzIIXA44HGooNu]:212784765bf97cc34b99981b11dd2a32a0d754af ,Listen to sounds and pick the odd one out.,norm_seed
