chain_name,seed_id,message_id,transcription_survey_name,text,n,is_english
glass,34,34,hand picked 1 seeds,clank,2,1
glass,34,34,hand picked 1 seeds,a piece of metal being dropped,1,1
glass,34,34,hand picked 1 seeds,atinga,1,0
glass,34,34,hand picked 1 seeds,bubtedew,1,0
glass,34,34,hand picked 1 seeds,bugongong,1,0
glass,34,34,hand picked 1 seeds,clanking,1,1
glass,34,34,hand picked 1 seeds,clatter,1,1
glass,34,34,hand picked 1 seeds,cling,1,1
glass,34,34,hand picked 1 seeds,clipapap,1,0
glass,34,34,hand picked 1 seeds,cluclaclut,1,0
glass,34,34,hand picked 1 seeds,clunk,1,1
glass,34,34,hand picked 1 seeds,didingdink,1,0
glass,34,34,hand picked 1 seeds,ding,1,1
glass,34,34,hand picked 1 seeds,oqueo,1,0
glass,34,34,hand picked 1 seeds,patinka,1,0
glass,34,34,hand picked 1 seeds,ta-ting-go,1,0
glass,34,34,hand picked 1 seeds,ting-ding,1,0
glass,34,34,hand picked 1 seeds,tintanging,1,0
glass,34,34,hand picked 1 seeds,uheehu,1,0
glass,34,101,first-gen-partial-1,tingtingting,5,0
glass,34,101,first-gen-partial-1,ten din ten,1,1
glass,34,101,first-gen-partial-1,tendingping,1,0
glass,34,101,first-gen-partial-1,ting ting ting,1,1
glass,34,101,first-gen-partial-1,tingtangtang,1,0
glass,34,101,first-gen-partial-1,tingtangting,1,0
glass,34,101,first-gen-partial-1,tingtieting,1,0
glass,34,101,first-gen-partial-1,tingtinting,1,0
glass,34,101,first-gen-partial-1,tititing,1,0
glass,34,101,first-gen-partial-1,tuntangtang,1,0
glass,34,101,first-gen-partial-1,tuntintin,1,0
glass,34,101,first-gen-partial-1,twingtwingtwing,1,0
glass,34,116,first-gen-partial-1,dicdicdic,3,0
glass,34,116,first-gen-partial-1,tititic,2,0
glass,34,116,first-gen-partial-1,addicted,1,1
glass,34,116,first-gen-partial-1,adiktiktik,1,0
glass,34,116,first-gen-partial-1,d-d-d,1,0
glass,34,116,first-gen-partial-1,dikdikdik,1,0
glass,34,116,first-gen-partial-1,dikidik,1,0
glass,34,116,first-gen-partial-1,ditditdit,1,0
glass,34,116,first-gen-partial-1,ditidi,1,0
glass,34,116,first-gen-partial-1,ditticktick,1,0
glass,34,116,first-gen-partial-1,dookdetdut,1,0
glass,34,116,first-gen-partial-1,dtcdtcdtc,1,0
glass,34,116,first-gen-partial-1,dukdikduk,1,0
glass,34,116,first-gen-partial-1,dukt-dik-dukt,1,0
glass,34,116,first-gen-partial-1,knock,1,1
glass,34,116,first-gen-partial-1,tic,1,1
glass,34,116,first-gen-partial-1,tick,1,1
glass,34,116,first-gen-partial-1,ticking,1,1
glass,34,116,first-gen-partial-1,tickticktick,1,0
glass,34,116,first-gen-partial-1,tictictic,1,0
glass,34,116,first-gen-partial-1,tutiktik,1,0
glass,34,136,first-gen-partial-1,taateh,2,0
glass,34,136,first-gen-partial-1,titituh,2,0
glass,34,136,first-gen-partial-1,chirpaloon,1,0
glass,34,136,first-gen-partial-1,ha ha,1,1
glass,34,136,first-gen-partial-1,tah tah teh,1,0
glass,34,136,first-gen-partial-1,tatataaaa,1,0
glass,34,136,first-gen-partial-1,tentative,1,1
glass,34,136,first-gen-partial-1,tetetehh,1,0
glass,34,136,first-gen-partial-1,tih-tih-tuh,1,0
glass,34,136,first-gen-partial-1,titatew,1,0
glass,34,136,first-gen-partial-1,titita,1,0
glass,34,136,first-gen-partial-1,tititeh,1,0
glass,34,136,first-gen-partial-1,tititi,1,0
glass,34,136,first-gen-partial-1,tititih,1,0
glass,34,136,first-gen-partial-1,tuhtuhtuuh,1,0
glass,34,136,first-gen-partial-1,tutuduh,1,0
glass,34,136,first-gen-partial-1,tutusza,1,0
glass,34,136,first-gen-partial-1,tututuh,1,0
glass,34,159,first-gen-partial-1,dingdingding,8,0
glass,34,159,first-gen-partial-1,dingdingling,2,0
glass,34,159,first-gen-partial-1,binbindlin,1,0
glass,34,159,first-gen-partial-1,dengdinning,1,0
glass,34,159,first-gen-partial-1,dindindalin,1,0
glass,34,159,first-gen-partial-1,ding,1,1
glass,34,159,first-gen-partial-1,ding ding ding,1,1
glass,34,159,first-gen-partial-1,ding-ding-ring,1,0
glass,34,159,first-gen-partial-1,dingdinding,1,0
glass,34,159,first-gen-partial-1,dingdingdin,1,0
glass,34,159,first-gen-partial-1,dingdingring,1,0
glass,34,159,first-gen-partial-1,dingdingvring,1,0
glass,34,159,first-gen-partial-1,dingingin,1,0
glass,34,159,first-gen-partial-1,dingring-a-ling,1,0
glass,34,159,first-gen-partial-1,dinlinlin,1,0
glass,34,159,first-gen-partial-1,ring ring ring,1,1
glass,34,159,first-gen-partial-1,ringdingding,1,0
glass,34,524,remaining-proximal-and-distal-1,damnanin,1,0
glass,34,524,remaining-proximal-and-distal-1,danamaynaynay,1,0
glass,34,524,remaining-proximal-and-distal-1,danamememe,1,0
glass,34,524,remaining-proximal-and-distal-1,dananamimi,1,0
glass,34,524,remaining-proximal-and-distal-1,dananananaaann,1,0
glass,34,524,remaining-proximal-and-distal-1,dananananeigh,1,0
glass,34,524,remaining-proximal-and-distal-1,dananananie,1,0
glass,34,524,remaining-proximal-and-distal-1,danananee,1,0
glass,34,524,remaining-proximal-and-distal-1,dananeenanee,1,0
glass,34,524,remaining-proximal-and-distal-1,dannananee,1,0
glass,34,524,remaining-proximal-and-distal-1,dannenenene,1,0
